transcript_id,num_exon
LOC109199538,2
LOC109199539,2
LOC109199540,2
LOC109199541,2
LOC109199542,2
LOC109199543,4
LOC109199544,4
LOC109199545,2
LOC109199546,3
LOC109199549,2
LOC109199550,2
LOC109199551,2
LOC109199554,3
LOC109199555,2
LOC109199556,2
LOC109199558,2
LOC109199560,2
LOC109199561,3
LOC109199562,2
LOC109199563,3
LOC109199566,2
LOC109199568,2
LOC109199569,2
LOC109199570,2
LOC109199571,2
LOC109199572,3
LOC109199573,2
LOC109199574,2
LOC109199575,2
LOC109199577,2
LOC109199581,2
LOC109199582,2
LOC109199583,4
LOC109199584,4
LOC109199876,2
LOC109199878,2
LOC109199881,2
LOC109199882,4
LOC109199883,3
LOC109199884,4
LOC109199885,2
LOC109199886,4
LOC109199887,2
LOC109199888,2
LOC109199890,2
LOC109199892,3
LOC109199894,2
LOC109199895,3
LOC109199896,2
LOC109199897,4
LOC109199898,4
LOC109200100,2
LOC109200929,2
LOC109201570,3
LOC109201755,2
LOC109201757,3
LOC109201758,2
LOC109201759,2
LOC109201760,2
LOC109201774,2
LOC109201775,2
LOC109201776,2
LOC109201777,2
LOC109201778,2
LOC109201779,2
LOC109201780,2
LOC109201796,2
LOC109201797,2
LOC109201798,2
LOC109201828,2
LOC109201829,2
LOC109201833,2
LOC109201834,2
LOC109201843,2
LOC109201848,2
LOC109201849,2
LOC109201850,2
LOC109201980,2
LOC109202053,7
LOC109202060,3
LOC109202061,2
LOC109202065,2
LOC109202066,2
LOC109202067,2
LOC109202068,2
LOC109202069,2
LOC109202071,2
LOC109203499,3
LOC109203501,2
LOC109203624,2
LOC112841675,1
LOC112842794,2
LOC112842795,2
LOC112842796,2
LOC112842797,2
LOC112842798,2
LOC112842799,2
LOC112842800,2
LOC112842801,2
LOC112842802,2
LOC112842803,2
LOC112842804,2
LOC112842805,2
LOC112842806,2
LOC112842807,2
LOC112842808,2
LOC112842809,2
LOC112842810,2
LOC112842811,2
LOC112842812,2
LOC112842813,2
LOC112842814,2
LOC112842815,2
LOC112842816,2
LOC112842817,2
LOC112842818,2
LOC112842819,2
LOC112842820,2
LOC112842855,2
LOC112842856,2
LOC112842857,2
LOC112842858,2
LOC112842859,2
LOC112842894,3
LOC112842895,3
LOC112842963,2
LOC112842974,2
LOC112842977,3
LOC112842978,3
LOC112843074,2
LOC112843075,2
LOC112843076,2
LOC112843077,2
LOC112843078,2
LOC112843079,2
LOC112843080,2
LOC112843163,2
LOC112843165,2
LOC112843186,4
LOC112843187,2
LOC112843188,2
LOC112843189,2
LOC112843190,2
LOC112843191,2
LOC112843192,1
LOC112843194,2
LOC112843396,3
LOC112843397,2
