gene_id,num_transcript,num_exon,num_uniq_exon
PHACADRAFT_109177,1,2,2
PHACADRAFT_109206,1,3,3
PHACADRAFT_109276,1,1,1
PHACADRAFT_109280,1,2,2
PHACADRAFT_109290,1,7,7
PHACADRAFT_109353,1,3,3
PHACADRAFT_109355,1,1,1
PHACADRAFT_109377,1,2,2
PHACADRAFT_109418,1,2,2
PHACADRAFT_109426,1,2,2
PHACADRAFT_109430,1,2,2
PHACADRAFT_109434,1,2,2
PHACADRAFT_109467,1,2,2
PHACADRAFT_109473,1,2,2
PHACADRAFT_109520,1,3,3
PHACADRAFT_109583,1,1,1
PHACADRAFT_109609,1,5,5
PHACADRAFT_109630,1,13,13
PHACADRAFT_109793,1,8,8
PHACADRAFT_109856,1,13,13
PHACADRAFT_109866,1,11,11
PHACADRAFT_109893,1,12,12
PHACADRAFT_109968,1,10,10
PHACADRAFT_109973,1,11,11
PHACADRAFT_110008,1,8,8
PHACADRAFT_110047,1,6,6
PHACADRAFT_110063,1,7,7
PHACADRAFT_110066,1,12,12
PHACADRAFT_110265,1,12,12
PHACADRAFT_110305,1,7,7
PHACADRAFT_110318,1,2,2
PHACADRAFT_110354,1,9,9
PHACADRAFT_110357,1,7,7
PHACADRAFT_110419,1,3,3
PHACADRAFT_110422,1,1,1
PHACADRAFT_110455,1,12,12
PHACADRAFT_110597,1,39,39
PHACADRAFT_110624,1,5,5
PHACADRAFT_110678,1,6,6
PHACADRAFT_110804,1,9,9
PHACADRAFT_110818,1,7,7
PHACADRAFT_110888,1,3,3
PHACADRAFT_110936,1,15,15
PHACADRAFT_110950,1,9,9
PHACADRAFT_111035,1,11,11
PHACADRAFT_111226,1,6,6
PHACADRAFT_111252,1,11,11
PHACADRAFT_111457,1,5,5
PHACADRAFT_111460,1,2,2
PHACADRAFT_111557,1,13,13
PHACADRAFT_111598,1,5,5
PHACADRAFT_111657,1,4,4
PHACADRAFT_111660,1,3,3
PHACADRAFT_111661,1,11,11
PHACADRAFT_111750,1,4,4
PHACADRAFT_111789,1,2,2
PHACADRAFT_111819,1,11,11
PHACADRAFT_111833,1,6,6
PHACADRAFT_111883,1,8,8
PHACADRAFT_111920,1,3,3
PHACADRAFT_111980,1,20,20
PHACADRAFT_112021,1,13,13
PHACADRAFT_112053,1,7,7
PHACADRAFT_112086,1,2,2
PHACADRAFT_112102,1,5,5
PHACADRAFT_112173,1,7,7
PHACADRAFT_112207,1,4,4
PHACADRAFT_112286,1,8,8
PHACADRAFT_112314,1,4,4
PHACADRAFT_112385,1,9,9
PHACADRAFT_112443,1,13,13
PHACADRAFT_112469,1,6,6
PHACADRAFT_112514,1,3,3
PHACADRAFT_112538,1,4,4
PHACADRAFT_112598,1,11,11
PHACADRAFT_112611,1,3,3
PHACADRAFT_112752,1,10,10
PHACADRAFT_112761,1,14,14
PHACADRAFT_112896,1,3,3
PHACADRAFT_112917,1,14,14
PHACADRAFT_112932,1,5,5
PHACADRAFT_112933,1,3,3
PHACADRAFT_112968,1,5,5
PHACADRAFT_113023,1,2,2
PHACADRAFT_113045,1,4,4
PHACADRAFT_113119,1,4,4
PHACADRAFT_113172,1,4,4
