generation,N_shifts,logPrior,logLik,eventRate,acceptRate
316000,1,0.881196,-2.19808,1.09551,0.394375
317000,2,3.84648,-3.82944,0.847484,0.419
318000,0,1.58015,-10.3894,0.445496,0.438
319000,0,1.86048,-17.7188,0.137151,0.487
320000,0,0.450639,-15.7747,0.291379,0.430667
321000,0,1.08416,-13.5795,0.91646,0.462
322000,0,1.91373,-12.9329,0.0819749,0.535
323000,4,3.466,-13.3634,3.90291,0.51375
324000,3,4.3574,-15.0727,1.50315,0.524
325000,1,3.30363,-4.72578,0.677352,0.465
326000,0,1.78478,-11.1611,0.0203078,0.397462
327000,0,1.0844,-10.4214,0.139942,0.491
328000,0,0.944814,-11.1955,0.353386,0.488333
329000,0,1.40065,-9.24964,0.620277,0.5
330000,1,0.189351,-10.6897,1.68337,0.484
331000,1,3.01358,-1.70501,0.595153,0.354833
332000,2,0.297257,0.686827,1.58177,0.362
333000,1,0.615095,2.97135,1.21309,0.358
334000,3,3.89522,7.01897,1.0479,0.263
335000,3,3.1265,-0.388372,1.19567,0.4152
336000,1,3.36562,1.49154,0.104629,0.349
337000,1,3.09192,-0.618296,0.344315,0.352
338000,1,2.55313,-10.7668,0.0796921,0.366
339000,0,-0.170148,-9.06343,0.0704545,0.4775
340000,1,1.84339,-10.7679,1.73225,0.479
341000,1,3.28489,0.717623,0.22081,0.334
342000,1,1.573,-1.03706,1.6797,0.325
343000,2,0.562398,-4.8836,2.22234,0.41
344000,0,0.392071,-13.0618,0.942975,0.479833
345000,0,0.981068,-9.99978,0.367341,0.474
346000,3,0.0775923,0.952632,2.88365,0.403667
347000,1,1.3918,-6.90543,0.139032,0.364
348000,2,2.90149,-9.55356,1.74691,0.483
349000,5,5.14022,-5.39865,3.33006,0.457
350000,3,1.76825,-7.32171,2.08986,0.444
351000,1,3.38957,0.365624,0.202657,0.389
352000,0,1.42308,-13.144,0.523696,0.489958
353000,3,-1.64604,-18.7332,1.91581,0.4845
354000,0,-0.844849,-12.7994,0.372011,0.465
355000,0,-0.55895,-9.98356,0.087874,0.463
356000,0,1.11033,-13.1087,0.748499,0.47
357000,2,1.36268,1.23384,1.65649,0.370333
358000,2,0.121616,-1.9074,1.36182,0.367
359000,2,2.80581,5.73587,0.473504,0.309
360000,1,-0.783559,5.44598,0.64759,0.235
361000,2,0.532692,2.53434,1.72353,0.245
362000,1,-2.2583,-0.267635,1.16696,0.323
363000,1,2.10863,5.47702,0.57624,0.329
364000,1,1.59778,-0.917217,0.036459,0.263
365000,0,1.41915,-8.14195,0.338598,0.487348
366000,0,1.60656,-15.1257,0.134819,0.5
367000,1,2.3623,-10.192,1.09818,0.480533
368000,1,2.32211,-3.17784,0.673787,0.416
369000,1,-0.138396,1.21591,2.06331,0.3406
370000,2,1.21841,-1.826,2.67691,0.389
371000,1,-2.44349,-4.26483,1.2868,0.436
372000,1,-0.654964,-16.9715,0.95638,0.501
373000,2,0.228166,-9.62258,0.75675,0.499
374000,2,3.52011,-7.19309,1.33869,0.495
375000,0,0.32451,-8.71652,1.47557,0.458556
376000,3,1.69894,-4.90263,1.64416,0.428
377000,2,1.22702,3.46827,1.03226,0.395
378000,1,1.29434,-3.70031,0.202114,0.334
379000,1,1.57669,-2.34063,1.24995,0.429
380000,2,2.45932,-2.02485,0.39851,0.321
381000,1,1.26074,0.926906,1.42896,0.441
382000,1,0.605139,-5.89827,2.0523,0.417
383000,1,2.97264,-2.18061,0.755186,0.481
384000,2,0.350836,2.06029,0.89122,0.3925
385000,1,3.14205,-6.81587,0.20887,0.4405
386000,2,-0.342903,-8.4101,1.97879,0.376
387000,2,2.7011,-11.6304,1.33579,0.438053
388000,0,0.941017,-13.9072,0.791626,0.51
389000,3,1.93467,-1.50329,0.369401,0.411667
390000,1,2.05694,1.78123,0.351259,0.307
391000,2,0.479355,-3.16085,1.25905,0.396
392000,2,3.14769,0.21916,1.65647,0.428571
393000,1,-2.37379,0.802489,0.515163,0.401
394000,2,-1.87878,-12.7119,0.953359,0.4485
395000,2,0.116397,-12.5034,2.07775,0.494
396000,3,-0.919674,-14.7045,1.50324,0.498
397000,0,0.85438,-8.7727,1.14582,0.486
398000,0,1.43477,-14.8952,0.525192,0.489
399000,2,2.91664,-0.997616,2.60583,0.3775
400000,2,1.90304,2.86261,2.42152,0.293
401000,3,-1.19135,-4.05836,5.95199,0.397
402000,1,1.84959,-3.16102,0.159205,0.392333
403000,3,-5.88749,-0.864823,1.95902,0.431
404000,1,-0.798109,-8.02469,0.722623,0.491333
405000,3,1.17477,0.759732,1.30254,0.3885
406000,2,-0.593102,2.23728,0.997417,0.343
407000,1,-0.549699,3.46595,0.974262,0.332
408000,1,2.19473,-12.655,0.473238,0.420706
409000,0,1.53371,-11.5896,0.0239804,0.481
