generation,leftchild,rightchild,abstime,betainit,betashift
38000,Drosophila_sechellia,NA,49.4132,1.75718,0.0342589
39000,Drosophila_grimshawi,Drosophila_willistoni,0,0.152227,-0.0727835
39000,Drosophila_sechellia,NA,49.0398,3.3916,-0.0188961
40000,Drosophila_grimshawi,Drosophila_willistoni,0,0.2337,-0.0727835
40000,Drosophila_sechellia,NA,46.8571,1.59072,-0.0183338
41000,Drosophila_grimshawi,Drosophila_willistoni,0,0.471061,-0.100745
41000,Drosophila_sechellia,Drosophila_simulans,44.5517,0.286932,-0.0193604
42000,Drosophila_grimshawi,Drosophila_willistoni,0,0.117227,-0.100745
42000,Drosophila_sechellia,NA,49.4829,1.0938,0.00350804
43000,Drosophila_grimshawi,Drosophila_willistoni,0,0.153009,-0.0932374
43000,Drosophila_sechellia,NA,48.8129,1.16331,0.0197467
44000,Drosophila_grimshawi,Drosophila_willistoni,0,0.214365,-0.121575
44000,Drosophila_sechellia,Drosophila_simulans,45.2259,0.235723,0.0389606
45000,Drosophila_grimshawi,Drosophila_willistoni,0,0.372234,-0.0932374
45000,Drosophila_sechellia,Drosophila_simulans,46.2743,0.546222,-0.0847608
46000,Drosophila_grimshawi,Drosophila_willistoni,0,0.115597,-0.0883483
46000,Drosophila_sechellia,NA,47.382,0.184652,-0.0363167
46000,Drosophila_sechellia,NA,48.4579,1.8732,-0.0401475
47000,Drosophila_grimshawi,Drosophila_willistoni,0,0.212256,-0.0883483
47000,Drosophila_persimilis,NA,34.7729,0.740618,-0.0658591
47000,Drosophila_sechellia,NA,47.501,0.200803,-0.0401475
48000,Drosophila_grimshawi,Drosophila_willistoni,0,0.16248,-0.0791619
48000,Drosophila_sechellia,NA,48.1086,0.933282,0.00721063
49000,Drosophila_grimshawi,Drosophila_willistoni,0,0.109004,-0.0803878
49000,Drosophila_sechellia,NA,48.95,1.57069,0.00721063
50000,Drosophila_grimshawi,Drosophila_willistoni,0,0.114748,-0.0803878
50000,Drosophila_sechellia,NA,48.4808,1.34329,-0.0205981
50000,Drosophila_ananassae,NA,49.7452,0.102562,-0.0630456
51000,Drosophila_grimshawi,Drosophila_willistoni,0,0.140787,-0.0803878
51000,Drosophila_sechellia,NA,47.8955,1.17789,-0.0275464
51000,Drosophila_ananassae,NA,20.1193,0.580512,-0.0281688
51000,Drosophila_ananassae,NA,23.9292,0.661394,-0.00748972
52000,Drosophila_grimshawi,Drosophila_willistoni,0,0.1631,-0.0929253
52000,Drosophila_mojavensis,Drosophila_virilis,18.5504,0.0724444,-0.0456354
52000,Drosophila_sechellia,Drosophila_melanogaster,41.6043,0.388213,-0.0389452
53000,Drosophila_grimshawi,Drosophila_willistoni,0,0.131997,-0.1104
53000,Drosophila_sechellia,Drosophila_simulans,45.0442,0.436187,-0.0469297
53000,Drosophila_ananassae,NA,34.2736,0.362879,0.0550148
54000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0701978,-0.0803878
54000,Drosophila_persimilis,NA,46.7598,0.71863,-0.0417194
54000,Drosophila_sechellia,NA,47.0234,0.568307,-0.0667573
55000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0756754,-0.0803878
55000,Drosophila_grimshawi,NA,26.2175,1.412,0.00451714
55000,Drosophila_willistoni,NA,46.7441,2.50816,0.0372873
55000,Drosophila_persimilis,NA,31.281,0.470927,0.0559376
55000,Drosophila_sechellia,Drosophila_simulans,46.5951,0.31523,-0.00259298
56000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0818285,-0.0803878
56000,Drosophila_grimshawi,NA,47.2645,2.36791,0.0492603
56000,Drosophila_sechellia,Drosophila_simulans,45.9597,0.818287,-0.00259298
57000,Drosophila_grimshawi,Drosophila_willistoni,0,0.068361,-0.0803878
57000,Drosophila_sechellia,Drosophila_simulans,44.3709,0.831611,-0.00259298
58000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0665158,-0.0709651
58000,Drosophila_sechellia,Drosophila_melanogaster,42.6637,1.39157,-0.0967623
59000,Drosophila_grimshawi,Drosophila_willistoni,0,0.306668,-0.103908
59000,Drosophila_sechellia,Drosophila_simulans,45.2192,0.451023,-0.0926101
