generation,leftchild,rightchild,abstime,betainit,betashift
119000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0104059,-0.0467814
119000,Drosophila_sechellia,Drosophila_erecta,22.4281,0.0309943,0.049941
120000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00760051,-0.0296665
120000,Drosophila_sechellia,Drosophila_erecta,25.3462,0.0800718,-0.0509375
120000,Drosophila_ananassae,NA,49.3483,0.0490134,0.0253281
121000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00339632,0.00820453
121000,Drosophila_sechellia,Drosophila_erecta,20.2507,0.146077,-0.0509375
121000,Drosophila_ananassae,NA,49.8495,0.150737,0.0524637
122000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00163144,0.00820453
122000,Drosophila_sechellia,Drosophila_erecta,21.6291,0.134143,-0.0509375
123000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00140142,0.00820453
123000,Drosophila_sechellia,Drosophila_erecta,23.9209,0.0425112,-0.0509375
124000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0357139,-0.0594725
124000,Drosophila_grimshawi,NA,45.6271,0.171114,-0.0404628
124000,Drosophila_persimilis,NA,49.7156,1.12984,0.0454838
124000,Drosophila_sechellia,NA,49.7578,0.596633,0.0375511
125000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00211293,0.0338617
125000,Drosophila_sechellia,Drosophila_melanogaster,39.5618,0.158816,-0.0453036
126000,Drosophila_grimshawi,Drosophila_willistoni,0,0.00449236,0.0338617
126000,Drosophila_sechellia,Drosophila_melanogaster,43.297,0.15107,0.0743285
127000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0582671,-0.0594725
127000,Drosophila_sechellia,NA,48.8822,1.853,0.0722766
128000,Drosophila_grimshawi,Drosophila_willistoni,0,0.032346,-0.0728238
128000,Drosophila_sechellia,NA,47.2828,0.766006,-0.000171906
129000,Drosophila_grimshawi,Drosophila_willistoni,0,0.0593975,-0.0728238
129000,Drosophila_sechellia,NA,49.5391,0.536362,-0.0962331
