generation,N_shifts,logPrior,logLik,eventRate,acceptRate
203000,1,0.758717,-10.5964,2.49175,0.4472
204000,3,3.45372,-16.9012,1.54719,0.459
205000,4,2.04761,-12.5206,0.766119,0.376
206000,1,3.64741,-13.0997,0.0383397,0.495
207000,2,1.82598,-17.377,2.73523,0.482
208000,1,3.05986,-18.2543,0.505142,0.499
209000,1,1.38756,-15.8536,1.43576,0.482
210000,1,2.53142,-13.6686,0.570742,0.417143
211000,2,2.23633,-7.70875,0.96799,0.406
212000,1,-0.0377179,-13.6222,1.97364,0.425
213000,1,0.0404835,-10.2607,1.80644,0.36725
214000,3,3.60426,-8.29323,1.54668,0.347
215000,1,1.83955,-10.1231,0.403085,0.37
216000,1,1.50978,-14.287,1.30732,0.418
217000,3,2.98303,-10.8652,1.58234,0.359333
218000,3,6.11248,-15.2455,1.57096,0.431235
219000,2,3.14193,-8.92016,0.778493,0.338
220000,3,1.47221,-4.86482,2.1543,0.358
221000,2,2.37473,-5.88316,0.775115,0.392778
222000,1,2.17871,-5.59224,0.689266,0.292
223000,1,3.11557,-8.13409,0.274733,0.406
224000,3,4.33073,-6.54886,0.917615,0.36
225000,4,4.0627,-11.7096,1.931,0.356
226000,1,0.380712,-5.82978,1.25666,0.398
227000,1,2.52045,-9.12171,0.224254,0.384571
228000,3,-0.0138603,-10.9717,3.31989,0.354
229000,1,0.802649,-4.86004,2.05999,0.35075
230000,2,1.38393,-10.3523,2.18065,0.389
231000,2,1.74421,-14.5273,0.445754,0.453
232000,3,-2.17477,-4.58881,1.81526,0.324
233000,5,4.44514,-9.39873,0.653276,0.333
234000,2,2.40227,-4.585,0.5501,0.302
235000,1,0.207833,-5.89672,1.5861,0.335
236000,1,2.29859,-18.9673,1.34938,0.4175
237000,2,1.65844,-9.5948,1.12985,0.431889
238000,2,-3.81074,-14.4044,1.35025,0.373
239000,4,3.61298,-6.7801,2.28916,0.356
240000,4,1.48777,-9.25687,2.96764,0.400357
241000,1,-3.56267,-8.64069,0.744226,0.332
242000,2,-0.0266423,-3.77866,2.19298,0.309667
243000,1,0.513726,-11.5125,0.543877,0.348
244000,2,3.31741,-14.9933,0.429677,0.434
245000,3,1.24535,-11.5384,2.31746,0.37675
246000,4,3.86724,-4.46351,1.7372,0.407667
247000,1,0.408237,-11.6415,0.143028,0.34
248000,1,0.550928,-9.36665,0.732319,0.355
249000,1,-0.208207,-8.12711,1.18654,0.375
250000,1,1.29247,-13.4928,0.255206,0.413429
251000,0,1.6417,-19.1339,0.331789,0.485714
252000,0,1.45988,-20.7003,0.384786,0.464
253000,1,-0.0658483,-5.90021,1.39567,0.3585
254000,2,-2.25051,-9.10395,3.79948,0.382
255000,1,-1.25021,-22.8115,3.62139,0.507
256000,2,0.29076,-6.26642,0.553976,0.3485
257000,3,-2.50647,-26.7812,1.1435,0.442917
258000,1,-3.58369,-15.6007,3.03671,0.425
259000,1,0.89899,-6.51593,1.95259,0.405
260000,1,3.16315,-17.3054,0.10536,0.328
261000,1,2.44678,-11.5407,0.710564,0.437
262000,1,2.12587,-5.15596,0.820919,0.391
263000,2,-1.69268,-7.52828,0.959352,0.343
264000,3,4.9678,-4.74737,0.510398,0.298
265000,1,1.06673,-9.25802,1.36963,0.34
266000,2,1.80175,-9.19069,1.57795,0.297
267000,1,1.10521,-9.25948,0.822106,0.306
268000,1,0.225073,-8.50875,1.20578,0.335
269000,1,-1.91916,-9.13981,0.35827,0.343
270000,1,2.08173,-12.9283,0.231451,0.348
271000,1,1.25266,-9.83891,0.750286,0.351
272000,1,1.58343,-13.9619,1.80677,0.407
273000,5,2.70172,-9.90437,3.17343,0.4
274000,2,0.655904,-11.5415,0.942267,0.348
275000,1,2.61585,-10.0261,0.129174,0.351
276000,0,0.83285,-23.332,1.17521,0.454
277000,0,1.92364,-19.7213,0.0674251,0.468
278000,2,2.2077,-15.8315,1.54677,0.432783
279000,3,0.725523,-18.787,2.03763,0.441
280000,0,1.7472,-18.4774,0.229982,0.436565
281000,1,-0.410479,-14.2448,2.19749,0.333217
282000,2,1.51802,-22.5028,1.96468,0.4942
283000,1,1.9247,-18.335,1.24036,0.521
284000,2,-0.0610142,-19.4439,0.427866,0.497
285000,1,-2.55172,-19.6088,2.16411,0.43075
286000,1,1.85827,-5.17229,0.447703,0.395
287000,1,1.89415,-15.4429,2.01106,0.473667
288000,0,1.20783,-18.8388,0.742769,0.491375
289000,0,1.57824,-18.8715,0.385714,0.529
290000,1,1.44068,-17.2923,0.641044,0.485667
291000,1,1.05736,-11.7126,2.28885,0.511
292000,1,-0.990023,-5.01717,1.65478,0.422
293000,1,-2.12612,-4.92779,2.44297,0.359
294000,3,-0.427399,-9.31604,2.10163,0.343
295000,1,1.04463,-10.5573,1.40167,0.36
296000,0,1.36061,-20.2389,0.406569,0.489857
297000,0,1.51471,-18.4122,0.389714,0.481
298000,1,2.43009,-12.3697,1.32998,0.456
299000,2,2.32906,-8.2378,2.05574,0.399
300000,1,2.58351,-13.6234,0.752439,0.376
301000,1,1.2541,-7.88623,0.919157,0.441
302000,1,-0.00489772,-7.35461,0.920467,0.388
303000,1,-1.42624,-10.9688,2.74729,0.458917
304000,2,1.22749,-6.35255,2.1137,0.3785
305000,3,0.365314,-15.0783,2.0774,0.402895
306000,2,2.46671,-5.76898,1.85852,0.342
307000,3,4.56826,-8.77698,1.70315,0.32825
308000,1,1.78792,-3.54198,1.18782,0.339857
309000,1,1.59812,-12.2149,0.821612,0.33
310000,2,0.974765,-8.23369,1.30023,0.335
311000,1,-0.116638,-5.86975,2.05838,0.337714
312000,1,-2.35001,-6.65613,0.0910417,0.332
313000,4,-6.48856,-8.03574,1.57457,0.311
314000,2,-2.69729,-9.4939,2.64613,0.363
315000,2,-1.55758,-14.379,2.72292,0.3945
316000,3,-0.712962,-13.8065,2.46607,0.437
317000,1,2.24697,-7.53987,0.189514,0.399333
318000,2,0.76622,-13.5674,1.96505,0.412
319000,2,2.45997,-3.53046,2.09705,0.437
320000,2,2.02505,-14.5409,0.816262,0.3963
321000,1,1.74129,-14.8785,1.33158,0.4015
322000,1,1.26283,-6.52726,0.39904,0.361
323000,2,3.53861,-6.85864,0.43607,0.331
324000,1,2.1192,-7.73047,1.45206,0.34
325000,1,2.91522,-12.871,0.431098,0.34
326000,3,2.40515,-6.03325,2.18792,0.37665
327000,1,2.43456,-7.85628,0.778545,0.336
328000,2,1.86389,-8.84193,1.16214,0.389143
329000,2,1.70414,-5.49387,1.00079,0.29
330000,3,1.91518,-9.17215,2.2575,0.285
331000,2,0.926055,-7.9582,0.855344,0.299333
332000,1,2.46194,-10.5875,0.748994,0.348143
333000,1,0.70506,-6.07404,0.529883,0.376
334000,1,0.75975,-6.381,1.72457,0.3794
335000,1,-0.0612172,-15.3405,1.30092,0.3785
336000,1,-0.154045,-9.99785,0.907007,0.346
337000,4,1.86974,-12.7334,2.13424,0.358667
338000,1,1.23841,-12.1678,0.394226,0.391667
