"species","WT_num_transcript","WT_num_gene","WT_num_exon","WT_num_uniqExon","WT_min_transcriptPerGene","WT_min_exonPerTranscript","WT_min_exonPerGene","WT_q1_transcriptPerGene","WT_q1_exonPerTranscript","WT_q1_exonPerGene","WT_median_transcriptPerGene","WT_median_exonPerTranscript","WT_median_exonPerGene","WT_q3_transcriptPerGene","WT_q3_exonPerTranscript","WT_q3_exonPerGene","WT_max_transcriptPerGene","WT_max_exonPerTranscript","WT_max_exonPerGene","WT_mean_transcriptPerGene","WT_mean_exonPerTranscript","WT_mean_exonPerGene","WT_std_transcriptPerGene","WT_std_exonPerTranscript","WT_std_exonPerGene","ortho_num_transcript","ortho_num_gene","ortho_num_exon","ortho_num_uniqExon","ortho_min_transcriptPerGene","ortho_min_exonPerTranscript","ortho_min_exonPerGene","ortho_q1_transcriptPerGene","ortho_q1_exonPerTranscript","ortho_q1_exonPerGene","ortho_median_transcriptPerGene","ortho_median_exonPerTranscript","ortho_median_exonPerGene","ortho_q3_transcriptPerGene","ortho_q3_exonPerTranscript","ortho_q3_exonPerGene","ortho_max_transcriptPerGene","ortho_max_exonPerTranscript","ortho_max_exonPerGene","ortho_mean_transcriptPerGene","ortho_mean_exonPerTranscript","ortho_mean_exonPerGene","ortho_std_transcriptPerGene","ortho_std_exonPerTranscript","ortho_std_exonPerGene"
"Hevea_brasiliensis",66642,38325,447869,246673,1,1,1,1,3,2,1,5,4,2,9,9,50,79,81,1.738864971,6.720521593,6.437155903,1.752676697,5.510809178,6.026443594,57812,32745,413065,226208,1,1,1,1,3,2,1,6,5,2,10,9,50,79,81,1.765521454,7.144969902,6.908718888,1.674437321,5.683806057,6.201922735
"Ipomoea_nil",65372,46482,356888,233728,1,1,1,1,2,1,1,4,3,1,7,7,27,79,84,1.406393873,5.45934039,5.028699281,1.054680856,5.334502228,5.290404164,46803,30505,307301,194237,1,1,1,1,3,2,1,5,5,2,9,9,27,79,84,1.53427307,6.565839797,6.367513522,1.166119784,5.754603571,5.858689802
"Lactuca_sativa",66051,45450,364950,231371,1,1,1,1,2,2,1,4,3,1,8,7,50,77,82,1.453267327,5.525275923,5.091221122,1.81196684,4.893296797,5.313867186,40431,30123,248900,175005,1,1,1,1,2,2,1,5,4,1,8,8,35,77,79,1.342196992,6.156167297,5.809912691,1.065428655,5.351812645,5.473543882
"Malus_domestica",65610,41833,425362,254885,1,1,1,1,3,2,1,5,4,1,9,8,50,80,91,1.568379031,6.483188538,6.094542586,1.888649728,5.417434338,5.946245716,42554,27986,297877,190544,1,1,1,1,3,2,1,6,5,2,10,9,50,80,80,1.520545987,6.9999765,6.809154577,1.368455544,5.59307771,6.042218492
"Manihot_esculenta",57290,33110,396529,208578,1,1,1,1,3,2,1,5,4,2,9,9,50,79,92,1.730292963,6.921434805,6.30102688,1.79081791,6.072587417,6.183885356,47459,26030,360035,185724,1,1,1,1,3,2,1,6,5,2,10,10,48,79,92,1.823242413,7.586232327,7.135958509,1.781547457,6.242902066,6.429592022
"Momordica_charantia",32392,21160,219775,137078,1,1,1,1,3,2,1,5,5,2,9,9,27,79,87,1.530812854,6.784854285,6.478544423,1.265013996,5.698873464,5.936978041,28953,18650,208033,129606,1,1,1,1,3,2,1,6,5,2,10,10,27,79,87,1.552439678,7.185196698,6.949436997,1.243724426,5.819374599,6.068148025
"Musa_acuminata",53882,33319,344492,209544,1,1,1,1,3,2,1,5,5,2,9,9,22,79,81,1.617155377,6.393452359,6.28974459,1.336979909,5.328364691,5.651187016,14639,9229,93280,59989,1,1,1,1,3,3,1,5,5,2,9,9,17,54,56,1.586195688,6.372019947,6.500054177,1.235346767,4.364255525,4.879577697
"Nelumbo_nucifera",44057,26754,298443,170213,1,1,1,1,3,2,1,5,4,2,9,9,31,79,80,1.646744412,6.77402002,6.362450475,1.413425456,5.765632037,5.996667105,37924,22500,277576,156865,1,1,1,1,3,2,1,6,5,2,10,10,28,79,80,1.685511111,7.319270119,6.971955556,1.402198952,5.954663242,6.213476076
"Nicotiana_tabacum",102095,70731,567956,374002,1,1,1,1,2,2,1,4,3,1,7,7,45,81,81,1.443426503,5.563014839,5.288303573,1.329075238,4.73431099,5.019443199,82228,56645,500894,327452,1,1,1,1,2,2,1,5,4,1,8,8,45,81,81,1.451637391,6.091526001,5.781234001,1.277399106,5.01762515,5.274699368
"Oryza_sativa",54090,33681,329509,195996,1,1,1,1,2,2,1,4,4,1,8,8,50,79,86,1.605949942,6.09186541,5.82271904,1.863467444,5.43923237,5.846600143,39712,24831,271387,164699,1,1,1,1,3,2,1,5,5,2,9,9,49,79,86,1.599291209,6.833878928,6.635737586,1.594656648,5.821047472,6.114922513
"Physcomitrium_patens",55515,23183,451740,191180,1,1,1,1,3,3,1,6,6,3,11,11.5,50,78,85,2.394642626,8.1372602,8.246861925,2.573267792,6.464462837,7.259051122,44158,17423,399938,165051,1,1,1,1,4,4,2,7,8,3,12,13,39,78,85,2.534465936,9.056977218,9.473512024,2.552480423,6.716725535,7.516848735
"Prunus_persica",36592,25105,230672,152935,1,1,1,1,2,2,1,5,4,1,9,8,28,79,79,1.457558255,6.303891561,6.093168691,1.177063102,5.515052596,5.763686977,31883,21749,214081,141413,1,1,1,1,3,2,1,5,5,2,9,9,28,79,79,1.465952458,6.714581438,6.503379466,1.131139122,5.713807584,5.951589547
