gene_id,num_transcript,num_exon,num_uniq_exon
LOC100191234,4,40,14
LOC100191235,6,62,19
LOC100191236,1,6,6
LOC100191237,2,19,12
LOC100191238,1,2,2
LOC100191239,1,1,1
LOC100191240,1,6,6
LOC100191241,3,9,6
LOC100191242,2,13,9
LOC100191243,2,17,11
LOC100191244,2,25,15
LOC100191245,1,7,7
LOC100191246,7,80,21
LOC100191247,1,8,8
LOC100191248,4,26,10
LOC100191249,1,8,8
LOC100191250,2,20,12
LOC100191251,2,5,5
LOC100191252,1,3,3
LOC100191253,1,5,5
LOC100191254,1,4,4
LOC100191255,6,44,15
LOC100191256,1,4,4
LOC100191257,1,5,5
LOC100191258,1,9,9
LOC100191259,1,3,3
LOC100191260,1,5,5
LOC100191261,1,2,2
LOC100191262,2,21,13
LOC100191263,4,21,12
LOC100191264,1,1,1
LOC100191265,2,9,7
LOC100191266,2,10,7
LOC100191267,3,26,12
LOC100191268,1,7,7
LOC100191269,2,19,13
LOC100191270,1,2,2
LOC100191271,1,8,8
LOC100191272,1,11,11
LOC100191273,1,4,4
LOC100191274,1,2,2
LOC100191275,2,12,8
LOC100191276,8,68,17
LOC100191277,1,1,1
LOC100191278,1,5,5
LOC100191279,5,64,18
LOC100191280,2,16,11
LOC100191281,1,5,5
LOC100191282,1,4,4
LOC100191283,1,7,7
LOC100191284,1,5,5
LOC100191285,4,9,8
LOC100191286,4,8,7
LOC100191287,1,4,4
LOC100191288,1,2,2
LOC100191289,3,8,6
LOC100191290,1,1,1
LOC100191291,1,9,9
LOC100191292,1,5,5
LOC100191293,1,2,2
LOC100191294,5,49,19
LOC100191295,2,10,7
LOC100191296,1,7,7
LOC100191297,5,31,11
LOC100191298,3,21,11
LOC100191299,1,1,1
LOC100191300,1,6,6
LOC100191301,1,6,6
LOC100191302,1,8,8
LOC100191303,1,3,3
LOC100191304,1,3,3
LOC100191305,1,5,5
LOC100191306,1,2,2
LOC100191307,1,3,3
LOC100191308,1,2,2
LOC100191309,1,8,8
LOC100191310,1,3,3
LOC100191311,3,24,13
LOC100191312,2,15,10
LOC100191313,2,22,14
LOC100191314,1,2,2
LOC100191315,2,4,4
LOC100191316,3,24,13
LOC100191317,1,9,9
LOC100191319,2,12,9
LOC100191320,1,10,10
LOC100191321,1,3,3
LOC100191322,3,23,13
LOC100191323,1,1,1
LOC100191324,1,8,8
LOC100191325,1,8,8
LOC100191326,2,20,12
LOC100191327,1,1,1
LOC100191328,3,6,6
LOC100191329,2,16,10
LOC100191330,4,39,16
LOC100191331,1,5,5
LOC100191332,3,26,13
LOC100191333,1,7,7
LOC100191334,1,8,8
LOC100191335,1,9,9
LOC100191336,1,1,1
LOC100191337,1,7,7
LOC100191338,2,7,5
LOC100191339,1,3,3
LOC100191340,1,5,5
LOC100191341,1,8,8
LOC100191342,1,2,2
LOC100191343,1,4,4
LOC100191344,1,4,4
LOC100191345,2,17,11
LOC100191347,1,7,7
LOC100191348,3,29,13
LOC100191349,5,13,7
LOC100191350,1,5,5
LOC100191351,2,13,9
LOC100191352,5,13,11
LOC100191353,1,1,1
LOC100191354,2,14,9
LOC100191355,4,21,12
LOC100191356,1,5,5
LOC100191357,1,9,9
LOC100191358,3,24,12
LOC100191359,9,34,13
LOC100191360,3,27,14
LOC100191361,2,23,14
LOC100191362,1,5,5
LOC100191363,3,35,15
LOC100191364,2,8,6
LOC100191365,2,32,19
LOC100191366,2,8,6
LOC100191367,1,8,8
LOC100191368,2,14,9
LOC100191370,1,2,2
LOC100191372,1,1,1
LOC100191373,2,15,10
LOC100191374,1,9,9
LOC100191375,1,11,11
LOC100191376,4,36,17
LOC100191377,1,6,6
LOC100191378,3,9,7
LOC100191379,4,27,12
LOC100191380,1,2,2
LOC100191381,1,4,4
LOC100191382,7,59,16
LOC100191383,1,11,11
LOC100191384,1,2,2
