generation,rank_1,rank_2,swapAccepted
683000,2,3,1
684000,2,3,1
685000,1,4,0
686000,1,4,1
687000,2,4,1
688000,2,4,1
689000,1,4,1
690000,1,3,1
691000,1,4,1
692000,3,4,1
693000,3,4,1
694000,2,4,1
695000,1,2,1
696000,2,4,1
697000,1,2,1
698000,1,3,1
699000,1,4,1
700000,1,2,1
701000,2,4,1
702000,1,2,1
703000,2,3,0
704000,3,4,1
705000,1,4,1
706000,2,4,1
707000,2,4,1
708000,2,4,1
709000,1,2,1
710000,2,4,1
711000,2,3,1
712000,3,4,1
713000,2,4,1
714000,2,4,1
715000,1,3,1
716000,1,3,1
717000,1,4,1
718000,1,2,1
719000,1,3,0
720000,1,2,1
721000,2,3,0
722000,2,3,1
723000,1,3,0
724000,1,4,0
725000,2,4,1
726000,1,4,1
727000,1,4,1
728000,2,3,0
729000,2,3,1
730000,1,2,1
731000,1,3,1
732000,1,4,1
733000,2,3,0
734000,1,3,1
735000,2,3,1
736000,1,3,1
737000,1,2,1
738000,1,4,1
739000,2,3,1
740000,2,4,1
741000,1,3,1
742000,1,2,1
743000,2,4,1
744000,1,2,1
745000,3,4,1
746000,3,4,1
747000,1,4,1
748000,2,3,1
749000,2,4,0
750000,2,3,1
751000,3,4,1
752000,2,3,1
753000,2,3,1
754000,3,4,1
755000,1,4,1
756000,1,2,1
757000,1,2,1
758000,1,2,1
759000,2,4,1
760000,1,2,1
761000,2,3,1
762000,2,3,0
763000,1,4,0
764000,2,3,1
765000,1,3,1
766000,2,4,1
767000,1,4,1
768000,1,2,1
769000,2,3,1
770000,1,3,1
771000,2,3,1
772000,2,4,1
773000,2,4,1
774000,1,2,1
775000,3,4,1
776000,1,3,1
777000,2,3,1
778000,1,3,1
779000,1,2,1
780000,1,4,1
781000,2,3,1
782000,2,4,0
783000,2,4,1
784000,1,4,0
785000,2,4,1
786000,1,4,0
787000,2,3,1
788000,1,4,1
789000,2,3,1
790000,1,2,1
791000,1,3,1
792000,1,2,1
793000,2,3,1
794000,2,4,1
795000,2,3,1
796000,1,3,1
797000,2,3,1
798000,3,4,1
799000,2,3,1
800000,2,4,1
801000,1,4,1
802000,2,3,1
803000,2,3,1
804000,1,4,1
805000,2,3,1
806000,2,4,1
807000,1,3,0
808000,3,4,1
809000,1,2,1
810000,1,3,0
811000,2,4,0
812000,1,2,1
813000,1,2,1
814000,3,4,1
815000,1,3,0
816000,1,2,1
817000,1,4,1
818000,1,4,1
819000,3,4,1
820000,2,3,1
821000,1,2,1
822000,1,2,1
823000,3,4,1
824000,2,3,1
825000,3,4,1
826000,1,3,1
827000,1,2,1
828000,3,4,1
829000,3,4,1
830000,2,4,1
831000,2,3,1
832000,1,3,1
833000,1,4,1
834000,3,4,1
835000,3,4,1
836000,1,2,1
837000,2,4,1
838000,1,4,1
839000,1,2,1
840000,3,4,1
841000,1,2,1
842000,2,4,0
843000,1,2,1
844000,3,4,1
845000,1,4,1
846000,2,4,1
847000,3,4,1
848000,2,4,1
849000,1,2,1
850000,1,4,1
851000,2,3,1
852000,1,2,1
853000,1,4,1
854000,3,4,1
855000,3,4,1
856000,1,2,1
857000,1,2,1
858000,1,2,1
859000,1,3,1
860000,1,3,1
861000,2,3,1
862000,1,3,1
863000,1,4,1
864000,2,4,1
865000,2,4,1
866000,1,2,1
867000,1,4,0
868000,1,4,1
869000,3,4,1
870000,1,3,1
871000,1,3,0
872000,1,2,0
873000,3,4,1
874000,1,3,1
875000,2,3,1
876000,1,2,1
877000,1,3,1
878000,1,3,1
879000,3,4,1
880000,2,3,1
881000,2,4,1
882000,3,4,1
883000,1,2,1
884000,2,4,0
885000,1,3,0
886000,2,3,1
887000,1,3,1
888000,2,4,1
889000,1,2,1
890000,2,4,0
891000,1,2,1
892000,1,4,0
893000,1,2,1
894000,1,3,1
895000,1,4,0
896000,2,3,1
897000,1,4,0
898000,2,4,1
899000,2,4,0
900000,2,3,1
