generation,N_shifts,logPrior,logLik,eventRate,acceptRate
165000,4,5.58981,-40.3607,2.83901,0.377
166000,5,5.87931,-50.7136,3.86924,0.418
167000,4,5.6365,-49.1394,0.628488,0.427333
168000,4,0.839475,-53.8886,3.77299,0.396
169000,3,4.15881,-37.8728,2.48956,0.402333
170000,4,4.24499,-45.7368,2.27167,0.382
171000,4,1.88551,-43.3543,3.3664,0.388
172000,3,6.36878,-64.7443,1.00363,0.428
173000,3,4.95789,-49.9124,1.95102,0.425
174000,3,2.37581,-48.2825,1.43944,0.4
175000,3,0.781046,-52.5358,1.11476,0.404429
176000,3,1.27944,-41.2285,3.53844,0.4148
177000,5,5.74493,-35.6516,3.04326,0.4105
178000,3,-1.7513,-39.0144,3.34272,0.387
179000,3,4.5459,-33.1827,1.76273,0.4085
180000,3,-2.33545,-43.2471,4.11373,0.4265
181000,4,5.19345,-38.3704,2.07417,0.3864
182000,4,6.84155,-43.9195,0.710273,0.375
183000,3,4.00209,-37.0472,2.208,0.385
184000,3,4.69242,-46.2108,1.15306,0.367
185000,3,5.21149,-49.0059,1.39595,0.401333
186000,3,5.55394,-39.5277,0.460879,0.392273
187000,4,5.34212,-39.1361,2.4354,0.374
188000,4,6.79641,-33.9596,1.66078,0.37
189000,5,5.83983,-26.9355,3.26814,0.384
190000,3,5.36838,-61.8448,0.657921,0.4138
191000,5,7.6877,-37.5579,1.23479,0.3985
192000,5,6.12847,-52.1953,3.41546,0.4235
193000,3,4.06869,-47.1565,2.21901,0.436
194000,4,4.81247,-39.5586,3.04321,0.405333
195000,4,4.07808,-48.803,3.85867,0.404
196000,5,6.7169,-29.492,2.21726,0.368
197000,3,3.68268,-46.9815,2.51559,0.406077
198000,3,6.01203,-28.8865,1.501,0.372
199000,4,5.2615,-50.4928,1.02618,0.39
200000,3,-3.96804,-54.6425,2.49931,0.3929
201000,3,2.71289,-64.4766,3.45866,0.42
202000,6,5.01177,-47.7548,2.84129,0.432667
203000,5,3.6823,-41.2115,2.82114,0.404
204000,5,4.62019,-36.3312,1.61727,0.404
205000,4,2.66646,-45.8157,2.0052,0.416
206000,4,3.33845,-34.9344,1.4483,0.386
207000,4,1.80901,-36.9531,2.78646,0.406
208000,4,-0.507913,-43.2412,2.01438,0.402
209000,4,1.96085,-42.1051,1.36099,0.387
210000,3,-1.60742,-52.3555,3.62405,0.4137
211000,4,1.69516,-30.0665,1.79871,0.4165
212000,5,2.64096,-34.9786,1.75612,0.413
213000,7,5.07167,-33.8331,2.56153,0.381
214000,3,4.43096,-55.5437,1.78784,0.410231
215000,4,6.02568,-43.1506,1.8992,0.407647
216000,3,-0.549685,-54.1068,1.17407,0.400833
217000,6,4.61854,-14.6696,2.12609,0.388
218000,3,3.07922,-42.2971,1.51756,0.4045
219000,4,4.91386,-57.8441,2.45809,0.41125
220000,3,2.06103,-61.9889,2.61156,0.4
221000,5,3.73092,-41.1934,3.79901,0.422
222000,5,2.39625,-28.6062,4.63494,0.397
