generation,N_shifts,logPrior,logLik,eventRate,acceptRate
964000,0,1.89154,95.1184,0.121222,0.392
965000,0,1.98663,96.5715,0.0309854,0.391
966000,0,1.8056,96.1581,0.203334,0.392
967000,0,1.75863,92.8106,0.233947,0.403
968000,0,1.73212,120.975,0.343821,0.360045
969000,0,1.43372,132.484,0.572902,0.313455
970000,0,1.90825,111.724,0.167685,0.3585
971000,0,2.02521,118.364,0.0507329,0.37
972000,0,1.28764,119.608,0.788298,0.318
973000,0,0.446108,119.709,1.62983,0.362
974000,0,1.29721,105.462,0.759619,0.392765
975000,0,1.49316,122.509,0.346262,0.3095
976000,0,1.0043,128.589,0.813894,0.312
977000,0,1.54267,130.435,0.0433256,0.302
978000,0,0.752561,129.454,0.389865,0.303
979000,0,1.25052,119.96,0.826148,0.363167
980000,0,1.76002,95.194,0.263879,0.400308
981000,0,1.97564,97.6775,0.0496731,0.407
982000,0,2.01498,93.8405,0.00514968,0.365
983000,0,1.86734,93.0662,0.154373,0.409
984000,0,1.2807,114.119,0.795972,0.3624
985000,0,1.90436,116.285,0.17231,0.365
986000,0,1.86877,120.765,0.207897,0.36
987000,0,1.6015,97.7027,0.425452,0.408
988000,0,0.997406,97.3713,1.03095,0.42
989000,0,1.96865,121.497,0.108017,0.346333
990000,0,1.84257,123.922,0.234097,0.348
991000,0,0.995921,119.961,1.08075,0.37
992000,0,1.50051,121.284,0.576165,0.366
993000,0,1.51868,116.381,0.557995,0.358
994000,0,1.85341,119.747,0.223262,0.362
995000,0,1.52372,121.145,0.552946,0.346
996000,0,1.54815,120.891,0.528519,0.363
997000,0,1.8463,107.09,0.215622,0.394435
998000,0,1.90249,94.8014,0.119705,0.399
999000,0,1.79094,96.143,0.236167,0.416
1000000,0,1.71563,95.2114,0.310077,0.395
1001000,0,1.86967,95.4864,0.150571,0.425
1002000,0,1.92586,118.478,0.150809,0.356833
1003000,0,0.689965,129.363,1.38639,0.3116
1004000,0,1.45016,120.589,0.626508,0.331
1005000,0,0.353417,122.576,1.72325,0.373
1006000,0,1.93539,118.544,0.141286,0.349
1007000,0,1.83935,118.428,0.237323,0.335
1008000,0,1.8731,128.984,0.203375,0.2994
1009000,0,1.87235,131.116,0.204125,0.294
1010000,0,2.0667,129.977,0.00976739,0.276
1011000,0,2.03812,127.278,0.0383522,0.295
1012000,0,1.75346,117.668,0.323209,0.3448
1013000,0,1.71229,120.032,0.364384,0.348
1014000,0,1.53893,120.29,0.53774,0.359
1015000,0,1.12282,119.033,0.953849,0.36
1016000,0,1.95387,108.124,0.107932,0.391789
1017000,0,1.57399,109.73,0.487936,0.373
1018000,0,1.13233,108.551,0.929476,0.362
1019000,0,1.53721,109.858,0.524675,0.383
1020000,0,1.74568,91.551,0.286192,0.409053
1021000,0,1.82191,132.538,0.254861,0.2987
1022000,0,1.77241,113.347,0.304259,0.376286
1023000,0,1.78947,109.086,0.272328,0.40975
1024000,0,1.65042,109.092,0.411392,0.431
1025000,0,1.75491,109.926,0.306989,0.417
1026000,0,1.42455,111.214,0.637346,0.409
1027000,0,1.87365,121.269,0.203024,0.344
1028000,0,0.88425,111.204,1.17768,0.3695
1029000,0,1.34791,113.002,0.714027,0.365
1030000,0,0.804593,111.1,1.25734,0.388
1031000,0,1.43526,130.596,0.379571,0.319
1032000,1,2.05957,119.508,0.366587,0.329
1033000,0,1.65941,131.269,0.155423,0.281
