generation,N_shifts,logPrior,logLik,eventRate,acceptRate
58000,7,-3.45117,-56.0864,5.73881,0.364
59000,5,-0.86167,-66.093,2.36775,0.435571
60000,8,0.254906,-45.5472,6.15088,0.3935
61000,11,-0.835009,-48.8443,3.14088,0.365
62000,8,1.64935,-51.8458,3.40178,0.382
63000,8,-0.293447,-45.2161,3.98086,0.377
64000,8,-1.4319,-44.7419,5.17173,0.37
65000,12,-4.38571,-66.8519,3.80142,0.454833
66000,8,0.27655,-43.1549,6.50216,0.3995
67000,6,0.872435,-31.7652,3.70303,0.36
68000,5,2.87362,-37.454,2.50157,0.356
69000,5,2.12154,-36.0468,3.87697,0.399
70000,4,2.42826,-30.5303,0.784023,0.4
71000,5,0.457498,-21.2587,1.38754,0.367
72000,5,-5.19496,-43.9442,4.07668,0.408143
73000,7,2.12536,-40.3616,3.55815,0.445
74000,5,-0.356483,-37.3681,2.53338,0.442
75000,5,-2.23219,-40.9352,3.93175,0.437
76000,5,-1.94206,-35.3814,4.89265,0.44
77000,4,0.942509,-36.8711,2.83933,0.425
78000,6,0.609033,-33.0593,2.69752,0.42
79000,4,-1.99809,-28.4655,1.94875,0.388552
80000,5,2.73895,-10.3763,2.86722,0.373889
81000,5,-6.45562,-28.0945,7.91899,0.3785
82000,4,-2.67663,-28.3494,2.44784,0.358
83000,7,3.44729,-27.3437,3.12731,0.3836
84000,6,-3.12521,-12.5615,3.89949,0.3165
85000,6,4.79133,-25.4931,2.44307,0.385
86000,5,6.76782,-23.6511,1.12913,0.352
87000,5,5.14213,-27.651,1.96699,0.355
88000,4,0.258999,-9.20124,2.16209,0.3275
89000,5,6.4865,-26.1919,1.89111,0.377
90000,4,4.28764,-8.57126,2.51871,0.3425
91000,5,6.34063,-9.69732,2.79447,0.314
92000,3,3.0978,-16.3102,2.56367,0.386
93000,3,-1.67794,-35.051,2.18848,0.362455
94000,5,-2.17573,-34.865,2.41988,0.423
95000,3,-0.224816,-35.5925,0.941363,0.426
96000,2,-0.507701,-33.9178,0.805515,0.381
97000,7,-0.176535,-23.5397,4.95391,0.38825
98000,4,0.126357,-30.9354,3.58947,0.3885
99000,5,4.23298,-23.7613,3.80886,0.369
100000,4,2.14078,-27.4018,2.84389,0.348
101000,8,2.9029,-39.6869,3.90078,0.390611
102000,8,0.635927,-41.4623,4.00447,0.361
103000,7,-4.31267,-40.3766,4.42281,0.362
104000,7,2.39169,-36.3716,4.61789,0.322
105000,7,1.31307,-41.8347,2.66972,0.369
106000,5,5.39681,-24.4137,1.32269,0.386333
107000,4,2.25892,-29.049,3.20224,0.352
108000,3,0.825157,-27.9351,2.01012,0.381
109000,3,2.81073,-27.1793,1.14803,0.343
110000,4,2.17855,-28.1573,1.87176,0.40625
111000,4,2.11042,-32.374,1.46223,0.344
112000,6,-1.29035,-46.3005,3.07247,0.365714
113000,4,2.62257,-20.6879,3.45534,0.36325
114000,3,0.972305,-22.1888,4.5708,0.3595
115000,10,5.74668,-54.5078,4.46495,0.378
116000,5,-2.00086,-24.7308,4.86136,0.3814
117000,10,6.91499,-44.0488,3.23495,0.3925
118000,3,0.736994,-23.7963,2.07693,0.3615
119000,8,0.229397,-42.2712,4.81374,0.362
120000,6,1.48309,-21.7755,3.95422,0.376
121000,4,2.80204,-22.2238,2.36593,0.343
122000,6,-3.80538,-15.1676,1.88729,0.337444
123000,6,-4.4618,-16.2077,6.56831,0.327
124000,4,-3.07494,-12.8685,3.71518,0.287
125000,2,1.88146,-28.3112,0.886037,0.36225
126000,4,3.85053,-37.7462,1.89874,0.335
127000,2,3.10273,-31.1168,1.0151,0.362
128000,3,3.87933,-15.8284,1.19991,0.364143
129000,4,4.75808,-13.9722,2.14109,0.337
130000,3,3.90125,-13.963,2.20733,0.358
131000,3,4.58097,-11.6198,1.19591,0.344
132000,5,2.8597,-9.81407,3.40433,0.35
133000,5,-2.58891,-16.9739,5.94314,0.325667
134000,4,1.6504,-11.6212,1.69435,0.322
135000,4,1.80461,-12.3688,3.04872,0.338
136000,8,2.31147,-53.9381,4.34295,0.385353
137000,12,-12.2289,-60.9379,5.5781,0.385
138000,11,-19.4995,-58.9895,6.81716,0.404
139000,8,-8.942,-60.2148,3.99394,0.398
140000,9,5.72159,-62.4299,4.27744,0.427
141000,8,5.00287,-55.1358,3.19701,0.387
