generation,N_shifts,logPrior,logLik,eventRate,acceptRate
5554000,1,-0.213562,132.431,0.15105,0.297
5555000,0,1.86193,130.298,0.176204,0.258
5556000,0,1.09357,132.146,0.278941,0.295
5557000,0,-0.53226,133.48,0.188952,0.276
5558000,0,2.04302,116.902,0.0292335,0.369833
5559000,0,0.669258,128.299,0.770632,0.254
5560000,0,1.5016,131.612,0.0100346,0.272
5561000,0,0.775121,124.003,0.063362,0.309
5562000,0,0.445488,130.06,1.46009,0.290043
5563000,0,1.5506,118.845,0.521655,0.3632
5564000,0,1.86408,113.555,0.208162,0.354
5565000,0,0.545299,128.798,0.304927,0.297
5566000,0,1.34122,116.232,0.680095,0.357077
5567000,0,1.49332,118.134,0.578937,0.381
5568000,0,1.32413,116.279,0.0974655,0.3385
5569000,0,-0.544944,118.578,0.513318,0.354
5570000,0,1.88657,116.949,0.186051,0.350333
5571000,0,1.89067,118.593,0.181958,0.343
5572000,0,0.716001,112.722,1.2976,0.348
5573000,0,1.10123,123.656,0.940751,0.2855
5574000,0,2.0492,115.767,0.0234201,0.351333
5575000,0,1.80205,130.553,0.10997,0.2841
5576000,0,1.44352,114.542,0.629096,0.3635
5577000,0,2.04789,120.536,0.00673289,0.2915
5578000,0,1.58237,128.323,0.0865355,0.2992
5579000,0,0.854029,130.05,1.22132,0.29
5580000,0,1.70392,127.689,0.371426,0.269
5581000,0,1.87567,128.052,0.199676,0.298
5582000,0,1.43038,110.614,0.185496,0.3526
5583000,0,1.9223,115.753,0.106708,0.338
5584000,0,1.86592,113.135,0.163082,0.324
5585000,0,1.70368,113.048,0.325323,0.345
5586000,0,0.914311,112.777,0.995673,0.371
5587000,0,1.17541,129.796,0.298338,0.3035
5588000,0,1.38345,129.1,0.25112,0.297
5589000,0,-0.197356,117.119,0.521756,0.356
5590000,0,0.410271,117.26,0.900739,0.383
5591000,0,0.934736,130.756,0.699839,0.314667
5592000,0,-0.110695,129.262,1.74527,0.249
5593000,0,1.48042,122.048,0.154159,0.288
5594000,0,1.95947,128.367,0.0502851,0.293385
5595000,0,-6.48921,128.072,4.29628,0.287
5596000,0,1.67698,113.647,0.0646703,0.3445
5597000,0,2.00031,118.603,0.0723166,0.359095
5598000,0,1.54831,117.748,0.524317,0.362
5599000,0,1.72758,123.969,0.198899,0.303167
5600000,0,1.22948,125.679,0.216795,0.308
5601000,0,1.38325,118.637,0.689376,0.349
5602000,0,1.29506,116.725,0.77757,0.404
5603000,0,-0.246996,115.184,1.18447,0.352286
5604000,0,1.59255,106.092,0.262018,0.366
5605000,0,1.35288,115.271,0.501689,0.355
5606000,0,0.338202,118.555,1.73442,0.3525
5607000,0,1.61062,115.638,0.0507332,0.3615
5608000,0,1.88075,130.059,0.130952,0.2845
5609000,0,0.926658,115.695,1.14597,0.370667
5610000,0,1.59125,119.117,0.481374,0.351
5611000,0,1.09189,118.141,0.802418,0.34375
5612000,0,1.93519,117.343,0.0765787,0.32
5613000,0,1.45554,115.758,0.55623,0.353
5614000,0,1.95494,131.795,0.111464,0.290667
5615000,0,1.1929,118.868,0.879726,0.3568
5616000,0,2.07131,116.558,0.00131968,0.372
5617000,0,1.33319,111.798,0.739427,0.388
5618000,0,1.51578,128.479,0.560897,0.300348
5619000,0,0.810508,110.438,0.33447,0.368
5620000,0,1.39017,129.457,0.686512,0.3005
5621000,0,1.32426,125.519,0.708021,0.306
5622000,0,1.76956,130.521,0.288404,0.301875
5623000,0,0.9694,118.313,1.10552,0.3645
5624000,0,1.89669,130.364,0.0645736,0.281
5625000,0,-1.4856,130.609,0.45323,0.30575
5626000,0,1.97285,132.446,0.0788164,0.277
5627000,0,-0.88883,124.909,2.19642,0.273
5628000,0,1.24784,128.254,0.604865,0.305
5629000,0,2.03489,131.351,0.0325467,0.29
5630000,0,1.94263,118.567,0.129162,0.374769
5631000,0,0.331088,125.652,1.74471,0.3115
5632000,0,1.92179,117.565,0.149993,0.3515
5633000,0,1.43176,128.937,0.125946,0.3035
5634000,0,0.444276,116.156,0.619329,0.355
5635000,0,1.14937,110.898,0.301759,0.369
5636000,0,1.44584,111.667,0.113314,0.362
5637000,0,2.02767,116.864,0.0409149,0.383
5638000,0,-0.6392,118.381,0.257846,0.329
5639000,0,0.592246,114.461,1.01996,0.334
5640000,0,0.1657,119.693,1.43981,0.33
5641000,0,-0.855393,115.906,2.05897,0.366
5642000,0,1.59394,130.52,0.00430565,0.299357
5643000,0,1.62859,130.67,0.439315,0.2901
5644000,0,1.32028,130.77,0.747622,0.285
5645000,0,1.27647,128.195,0.73272,0.302
5646000,0,2.06199,127.844,0.0108434,0.292
5647000,0,1.80714,129.126,0.26882,0.305
5648000,0,1.86434,127.288,0.211628,0.261
5649000,0,1.60396,126.03,0.303214,0.297571
5650000,0,-0.959706,127.926,0.222807,0.3145
5651000,0,0.511108,132.586,0.245747,0.279
5652000,0,1.08603,127.065,0.897198,0.279
5653000,0,1.97391,129.307,0.0744337,0.297
5654000,0,1.24671,124.422,0.78838,0.317
5655000,0,0.80073,125.296,1.23436,0.293
5656000,0,1.22043,126.874,0.853543,0.294333
5657000,0,0.972768,127.679,0.495571,0.329
5658000,0,0.375559,128.954,1.64178,0.283
5659000,0,2.01497,131.251,0.00236993,0.306
5660000,0,1.23922,129.515,0.300657,0.273
5661000,0,1.41491,126.022,0.124965,0.301
5662000,0,1.5548,115.188,0.39455,0.355952
5663000,0,-0.23832,130.336,0.234946,0.288
5664000,0,-0.312875,127.097,0.3095,0.278
5665000,0,-1.00092,130.26,0.997547,0.283
5666000,0,0.636903,115.954,1.42694,0.35075
5667000,0,1.96641,118.024,0.0126365,0.341
5668000,0,2.05267,115.176,0.0191107,0.3635
5669000,0,0.699755,124.537,1.33222,0.29
5670000,0,1.44678,132.168,0.613174,0.319
5671000,0,0.975169,120.128,0.895211,0.36575
5672000,0,1.08897,120.224,0.982818,0.37375
5673000,0,2.06717,115.3,0.00460356,0.365
5674000,0,1.82923,116.539,0.242552,0.386
5675000,0,-1.37858,127.548,0.19151,0.295
5676000,0,1.57439,131.276,0.451592,0.279733
5677000,0,1.84231,127.636,0.18367,0.292
5678000,0,1.7899,133.215,0.236081,0.299
5679000,0,0.852862,123.197,1.09752,0.296
5680000,0,1.15308,128.365,0.0465841,0.3002
5681000,0,0.761437,127.922,0.438223,0.31
5682000,0,0.693654,132.397,0.673841,0.243
5683000,0,1.59612,131.634,0.354267,0.28975
5684000,0,0.891899,128.238,0.719583,0.2655
5685000,0,-0.216627,125.082,1.63418,0.286
5686000,0,1.14741,129.105,0.894977,0.289
5687000,0,1.35093,116.054,0.720755,0.355312
5688000,0,1.94895,129.895,0.121893,0.309
5689000,0,1.59765,118.313,0.454014,0.365
5690000,0,1.56566,114.073,0.415931,0.361
5691000,1,-1.5142,135.448,1.64546,0.285333
5692000,0,1.35291,116.692,0.681086,0.3525
5693000,0,1.68667,127.841,0.0391051,0.289556
5694000,0,1.64541,127.5,0.0803626,0.277
5695000,0,0.694379,129.746,1.38022,0.258
5696000,0,0.826138,127.544,1.00059,0.2872
5697000,0,-1.24218,127.921,0.554415,0.262
5698000,0,-3.31618,127.683,1.37103,0.314
5699000,0,1.81058,129.938,0.266211,0.273667
5700000,0,1.43306,113.055,0.638706,0.362154
5701000,0,2.03031,128.214,0.0208056,0.302
5702000,0,1.03293,128.046,1.01819,0.304
5703000,1,2.09269,125.984,1.79394,0.32
5704000,0,0.982794,124.885,1.00969,0.347
5705000,0,1.79372,131.495,0.198759,0.301
5706000,0,1.64868,127.117,0.3438,0.281
5707000,0,2.04108,117.191,0.0307077,0.362
5708000,0,1.50653,132.259,0.485951,0.274
5709000,0,1.4574,119.913,0.611864,0.344706
5710000,0,-1.17554,116.644,0.35337,0.336
5711000,0,-2.42539,118.119,0.318463,0.344
5712000,0,-0.397229,115.148,0.195818,0.386
5713000,0,-0.272187,115.907,0.0707757,0.355
5714000,0,2.0259,118.91,0.0108255,0.337
5715000,0,1.07254,113.874,0.964185,0.37
5716000,0,1.78502,124.003,0.291769,0.293
5717000,0,1.70778,114.802,0.259913,0.3615
5718000,0,1.58301,117.728,0.384679,0.361
5719000,0,1.90538,107.172,0.0623178,0.341
5720000,0,1.88004,119.015,0.0876552,0.352
5721000,0,1.341,127.725,0.440681,0.297692
